LEI,Entity.LegalName,Entity.LegalName.xmllang,Entity.OtherEntityNames.OtherEntityName.1,Entity.OtherEntityNames.OtherEntityName.1.xmllang,Entity.OtherEntityNames.OtherEntityName.1.type,Entity.OtherEntityNames.OtherEntityName.2,Entity.OtherEntityNames.OtherEntityName.2.xmllang,Entity.OtherEntityNames.OtherEntityName.2.type,Entity.OtherEntityNames.OtherEntityName.3,Entity.OtherEntityNames.OtherEntityName.3.xmllang,Entity.OtherEntityNames.OtherEntityName.3.type,Entity.OtherEntityNames.OtherEntityName.4,Entity.OtherEntityNames.OtherEntityName.4.xmllang,Entity.OtherEntityNames.OtherEntityName.4.type,Entity.OtherEntityNames.OtherEntityName.5,Entity.OtherEntityNames.OtherEntityName.5.xmllang,Entity.OtherEntityNames.OtherEntityName.5.type,Entity.TransliteratedOtherEntityNames.TransliteratedOtherEntityName.1,Entity.TransliteratedOtherEntityNames.TransliteratedOtherEntityName.1.xmllang,Entity.TransliteratedOtherEntityNames.TransliteratedOtherEntityName.1.type,Entity.LegalAddress.xmllang,Entity.LegalAddress.FirstAddressLine,Entity.LegalAddress.MailRouting,Entity.LegalAddress.AdditionalAddressLine.1,Entity.LegalAddress.AdditionalAddressLine.2,Entity.LegalAddress.AdditionalAddressLine.3,Entity.LegalAddress.City,Entity.LegalAddress.Region,Entity.LegalAddress.Country,Entity.LegalAddress.PostalCode,Entity.HeadquartersAddress.xmllang,Entity.HeadquartersAddress.FirstAddressLine,Entity.HeadquartersAddress.MailRouting,Entity.HeadquartersAddress.AdditionalAddressLine.1,Entity.HeadquartersAddress.AdditionalAddressLine.2,Entity.HeadquartersAddress.AdditionalAddressLine.3,Entity.HeadquartersAddress.City,Entity.HeadquartersAddress.Region,Entity.HeadquartersAddress.Country,Entity.HeadquartersAddress.PostalCode,Entity.OtherAddresses.OtherAddress.1.xmllang,Entity.OtherAddresses.OtherAddress.1.type,Entity.OtherAddresses.OtherAddress.1.FirstAddressLine,Entity.OtherAddresses.OtherAddress.1.AdditionalAddressLine.1,Entity.OtherAddresses.OtherAddress.1.AdditionalAddressLine.2,Entity.OtherAddresses.OtherAddress.1.AdditionalAddressLine.3,Entity.OtherAddresses.OtherAddress.1.City,Entity.OtherAddresses.OtherAddress.1.Region,Entity.OtherAddresses.OtherAddress.1.Country,Entity.OtherAddresses.OtherAddress.1.PostalCode,Entity.OtherAddresses.OtherAddress.2.xmllang,Entity.OtherAddresses.OtherAddress.2.type,Entity.OtherAddresses.OtherAddress.2.FirstAddressLine,Entity.OtherAddresses.OtherAddress.2.AdditionalAddressLine.1,Entity.OtherAddresses.OtherAddress.2.AdditionalAddressLine.2,Entity.OtherAddresses.OtherAddress.2.AdditionalAddressLine.3,Entity.OtherAddresses.OtherAddress.2.City,Entity.OtherAddresses.OtherAddress.2.Region,Entity.OtherAddresses.OtherAddress.2.Country,Entity.OtherAddresses.OtherAddress.2.PostalCode,Entity.RegistrationAuthority.RegistrationAuthorityID,Entity.RegistrationAuthority.OtherRegistrationAuthorityID,Entity.RegistrationAuthority.RegistrationAuthorityEntityID,Entity.LegalJurisdiction,Entity.EntityCategory,Entity.LegalForm.EntityLegalFormCode,Entity.LegalForm.OtherLegalForm,Entity.EntityStatus,Entity.EntityCreationDate,Entity.LegalEntityEvents.LegalEntityEvent.1.group_type,Entity.LegalEntityEvents.LegalEntityEvent.1.event_status,Entity.LegalEntityEvents.LegalEntityEvent.1.group_id,Entity.LegalEntityEvents.LegalEntityEvent.1.LegalEntityEventType,Entity.LegalEntityEvents.LegalEntityEvent.1.LegalEntityEventEffectiveDate,Entity.LegalEntityEvents.LegalEntityEvent.1.LegalEntityEventRecordedDate,Entity.LegalEntityEvents.LegalEntityEvent.1.ValidationDocuments,Entity.LegalEntityEvents.LegalEntityEvent.2.group_type,Entity.LegalEntityEvents.LegalEntityEvent.2.event_status,Entity.LegalEntityEvents.LegalEntityEvent.2.group_id,Entity.LegalEntityEvents.LegalEntityEvent.2.LegalEntityEventType,Entity.LegalEntityEvents.LegalEntityEvent.2.LegalEntityEventEffectiveDate,Entity.LegalEntityEvents.LegalEntityEvent.2.LegalEntityEventRecordedDate,Entity.LegalEntityEvents.LegalEntityEvent.2.ValidationDocuments,Entity.LegalEntityEvents.LegalEntityEvent.3.group_type,Entity.LegalEntityEvents.LegalEntityEvent.3.event_status,Entity.LegalEntityEvents.LegalEntityEvent.3.LegalEntityEventType,Entity.LegalEntityEvents.LegalEntityEvent.3.LegalEntityEventEffectiveDate,Entity.LegalEntityEvents.LegalEntityEvent.3.LegalEntityEventRecordedDate,Entity.LegalEntityEvents.LegalEntityEvent.3.ValidationDocuments,Entity.LegalEntityEvents.LegalEntityEvent.4.group_type,Entity.LegalEntityEvents.LegalEntityEvent.4.event_status,Entity.LegalEntityEvents.LegalEntityEvent.4.LegalEntityEventType,Entity.LegalEntityEvents.LegalEntityEvent.4.LegalEntityEventEffectiveDate,Entity.LegalEntityEvents.LegalEntityEvent.4.LegalEntityEventRecordedDate,Entity.LegalEntityEvents.LegalEntityEvent.4.ValidationDocuments,Registration.InitialRegistrationDate,Registration.LastUpdateDate,Registration.RegistrationStatus,Registration.NextRenewalDate,Registration.ManagingLOU,Registration.ValidationSources,Registration.ValidationAuthority.ValidationAuthorityID,Registration.ValidationAuthority.OtherValidationAuthorityID,Registration.ValidationAuthority.ValidationAuthorityEntityID,Registration.OtherValidationAuthorities.OtherValidationAuthority.1.ValidationAuthorityID,Registration.OtherValidationAuthorities.OtherValidationAuthority.1.OtherValidationAuthorityID,Registration.OtherValidationAuthorities.OtherValidationAuthority.1.ValidationAuthorityEntityID
254900UPIQ5QV7BENS14,"FRED-FITCHBURG RETAIL, LLC",en,,,,,,,,,,,,,,,,,,,en,C/O BRETT K. MILLER,,789 N WATER ST,STE 500,,MILWAUKEE,US-WI,US,53202,en,789 N WATER ST,,STE 500,,,MILWAUKEE,US-WI,US,53202,,,,,,,,,,,,,,,,,,,,,RA000642,,F048229,US-WI,GENERAL,M5RM,,ACTIVE,2012-08-23T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-26T14:54:54.519Z,2024-03-26T14:54:54.519Z,ISSUED,2025-03-26T14:54:54.519Z,5493001KJTIIGC8Y1R12,FULLY_CORROBORATED,RA000642,,F048229,,,
549300B56MD0ZC402L06,Bloomberg L.P.,en,,,,,,,,,,,,,,,,,,,en,c/o Corporation Service Company,,251 Little Falls Drive,,,Wilmington,US-DE,US,19808,en,731 Lexington Avenue,,,,,New York,US-NY,US,10022,,,,,,,,,,,,,,,,,,,,,RA000602,,2110234,US-DE,GENERAL,T91T,,ACTIVE,1986-12-09T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-12-06T21:00:04.761Z,2024-01-08T15:39:03.046Z,ISSUED,2025-01-25T16:50:01.379Z,5493001KJTIIGC8Y1R12,FULLY_CORROBORATED,RA000602,,2110234,,,
549300G6E5JZ695M4Z15,"WTC Captive Insurance Company, Inc.",en,,,,,,,,,,,,,,,,,,,en,C/O CT Corporation System,,28 LIBERTY ST,,,New York,US-NY,US,10005,en,225 Broadway,,Suite 1870,,,New York,US-NY,US,10007,,,,,,,,,,,,,,,,,,,,,RA000628,,3073531,US-NY,GENERAL,51RC,,ACTIVE,2004-07-01T00:00:00.000Z,STANDALONE,COMPLETED,,CHANGE_HQ_ADDRESS,2024-03-22T00:00:00.000Z,2024-03-22T17:50:21.169Z,OTHER_OFFICIAL_DOCUMENTS,STANDALONE,COMPLETED,,CHANGE_LEGAL_FORM,2024-03-22T00:00:00.000Z,2024-03-22T17:50:21.169Z,OTHER_OFFICIAL_DOCUMENTS,,,,,,,,,,,,,2013-04-05T14:03:00.000Z,2024-03-26T15:52:19.853Z,ISSUED,2025-03-26T15:52:19.854Z,5493001KJTIIGC8Y1R12,FULLY_CORROBORATED,RA000628,,3073531,,,
6SHGI4ZSSLCXXQSBB395,CITIGROUP INC.,en,,,,,,,,,,,,,,,,,,,en,CORPORATION TRUST CENTER 1209 ORANGE ST,c/o THE CORPORATION TRUST COMPANY,,,,WILMINGTON,US-DE,US,19801,en,CORPORATION TRUST CENTER 1209 ORANGE ST,c/o THE CORPORATION TRUST COMPANY,,,,WILMINGTON,US-DE,US,19801,,,,,,,,,,,,,,,,,,,,,RA000602,,2154254,US-DE,GENERAL,XTIQ,,ACTIVE,1988-03-08T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-06-06T15:53:00+00:00,2023-04-03T10:17:01+00:00,ISSUED,2024-05-27T14:10:35+00:00,529900T8BM49AURSDO55,FULLY_CORROBORATED,RA000602,,2154254,,,
984500C5A911AT8C0C39,"QUALFON DATA SERVICES GROUP, LLC",en,,,,,,,,,,,,,,,,,,,en,"122 EAST 42ND STREET, 18TH FLOOR",c/o COGENCY GLOBAL INC.,,,,NEW YORK,US-NY,US,10168,en,600 17th St Ste 1450S,,,,,Denver,US-CO,US,80202,,,,,,,,,,,,,,,,,,,,,RA000628,,3423986,US-NY,GENERAL,SDX0,,ACTIVE,2006-10-13T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-27T03:26:30+00:00,2024-03-27T03:26:30+00:00,ISSUED,2025-03-27T03:26:32+00:00,529900T8BM49AURSDO55,FULLY_CORROBORATED,RA000628,,3423986,RA000599,,20141297130
984500E1EAA02J644D10,"Private Mortgage Group, LLC",en,,,,,,,,,,,,,,,,,,,en,130 N Preston Rd,,STE 318,,,Prosper,US-TX,US,75078,en,130 N Preston Rd,,STE 318,,,Prosper,US-TX,US,75078,,,,,,,,,,,,,,,,,,,,,RA000637,,805153387,US-TX,GENERAL,WYG5,,ACTIVE,2023-07-21T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-27T04:05:59+00:00,2024-03-27T04:05:59+00:00,ISSUED,2025-03-27T04:06:02+00:00,529900T8BM49AURSDO55,FULLY_CORROBORATED,RA000637,,805153387,,,
E57ODZWZ7FF32TWEFA76,"Citibank, National Association",en,,,,,,,,,,,,,,,,,,,en,5800 S Corporate Place,,,,,Sioux Falls,US-SD,US,57108,en,5800 S Corporate Place,,,,,Sioux Falls,US-SD,US,57108,,,,,,,,,,,,,,,,,,,,,RA000744,,7213,US,GENERAL,62VJ,,ACTIVE,1812-06-16T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-06-06T15:53:00+00:00,2023-06-26T13:24:49+00:00,ISSUED,2024-05-27T14:17:49+00:00,529900T8BM49AURSDO55,FULLY_CORROBORATED,RA000744,,7213,,,
029200343C4N7D2E6H83,CITIBANK NIGERIA LIMITED,en,,,,,,,,,,,,,,,,,,,en,"27, KOFO ABAYOMI STREET",,,,,VICTORIA ISLAND,NG-LA,NG,106104,en,"27, KOFO ABAYOMI STREET",,,,,VICTORIA ISLAND,NG-LA,NG,106104,,,,,,,,,,,,,,,,,,,,,RA000469,,RC - 62430,NG,GENERAL,9999,Private Limited Liability Company,ACTIVE,1984-05-01T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-02-20T00:00:00+00:00,2023-04-21T13:47:33+00:00,ISSUED,2024-05-27T14:05:45+00:00,529900T8BM49AURSDO55,FULLY_CORROBORATED,RA000469,,RC - 62430,,,
073LKXEKEP6T62NK2G42,CITI BANK UGANDA LIMITED,en,,,,,,,,,,,,,,,,,,,en,"Centre Court, Plot 4, Ternan Avenue",,Nakasero,,,Kampala,UG-102,UG,,en,"Centre Court, Plot 4, Ternan Avenue",,Nakasero,,,Kampala,UG-102,UG,,,,,,,,,,,,,,,,,,,,,,RA000566,,80010000421535,UG,GENERAL,9999,Private Company Limited by Shares,ACTIVE,1999-05-25T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-11-28T18:21:00+00:00,2023-04-26T14:18:23+00:00,ISSUED,2024-05-27T14:05:43+00:00,529900T8BM49AURSDO55,PARTIALLY_CORROBORATED,RA000566,,80010000421535,,,
0C45RG70GW42XSBLJ131,CITIGROUP PTY LIMITED,en,INDUSTRIAL ACCEPTANCE HOLDINGS LIMITED,en,PREVIOUS_LEGAL_NAME,I.A.C. (HOLDINGS) LIMITED,en,PREVIOUS_LEGAL_NAME,CITICORP AUSTRALIA HOLDINGS LIMITED,en,PREVIOUS_LEGAL_NAME,CITIBANK PTY LIMITED,en,PREVIOUS_LEGAL_NAME,CITIBANK LIMITED,en,PREVIOUS_LEGAL_NAME,,,,en,CITIGROUP CENTRE,,2 PARK STREET,,,SYDNEY,AU-NSW,AU,2000,en,CITIGROUP CENTRE,,2 PARK STREET,,,SYDNEY,AU-NSW,AU,2000,,,,,,,,,,,,,,,,,,,,,RA000014,,004 325 080,AU,GENERAL,TXVC,,ACTIVE,1954-08-31T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-06-27T11:54:00+00:00,2023-05-01T14:06:52+00:00,ISSUED,2024-05-27T14:17:44+00:00,529900T8BM49AURSDO55,FULLY_CORROBORATED,RA000014,,004 325 080,,,
