Relationship.StartNode.NodeID,Relationship.StartNode.NodeIDType,Relationship.EndNode.NodeID,Relationship.EndNode.NodeIDType,Relationship.RelationshipType,Relationship.RelationshipStatus,Relationship.Period.1.startDate,Relationship.Period.1.endDate,Relationship.Period.1.periodType,Relationship.Period.2.startDate,Relationship.Period.2.endDate,Relationship.Period.2.periodType,Relationship.Period.3.startDate,Relationship.Period.3.endDate,Relationship.Period.3.periodType,Relationship.Period.4.startDate,Relationship.Period.4.endDate,Relationship.Period.4.periodType,Relationship.Period.5.startDate,Relationship.Period.5.endDate,Relationship.Period.5.periodType,Relationship.Qualifiers.1.QualifierDimension,Relationship.Qualifiers.1.QualifierCategory,Relationship.Qualifiers.2.QualifierDimension,Relationship.Qualifiers.2.QualifierCategory,Relationship.Qualifiers.3.QualifierDimension,Relationship.Qualifiers.3.QualifierCategory,Relationship.Qualifiers.4.QualifierDimension,Relationship.Qualifiers.4.QualifierCategory,Relationship.Qualifiers.5.QualifierDimension,Relationship.Qualifiers.5.QualifierCategory,Relationship.Quantifiers.1.MeasurementMethod,Relationship.Quantifiers.1.QuantifierAmount,Relationship.Quantifiers.1.QuantifierUnits,Relationship.Quantifiers.2.MeasurementMethod,Relationship.Quantifiers.2.QuantifierAmount,Relationship.Quantifiers.2.QuantifierUnits,Relationship.Quantifiers.3.MeasurementMethod,Relationship.Quantifiers.3.QuantifierAmount,Relationship.Quantifiers.3.QuantifierUnits,Relationship.Quantifiers.4.MeasurementMethod,Relationship.Quantifiers.4.QuantifierAmount,Relationship.Quantifiers.4.QuantifierUnits,Relationship.Quantifiers.5.MeasurementMethod,Relationship.Quantifiers.5.QuantifierAmount,Relationship.Quantifiers.5.QuantifierUnits,Registration.InitialRegistrationDate,Registration.LastUpdateDate,Registration.RegistrationStatus,Registration.NextRenewalDate,Registration.ManagingLOU,Registration.ValidationSources,Registration.ValidationDocuments,Registration.ValidationReference
029200343C4N7D2E6H83,LEI,6SHGI4ZSSLCXXQSBB395,LEI,IS_ULTIMATELY_CONSOLIDATED_BY,ACTIVE,2021-01-01T00:00:00+00:00,2021-12-31T00:00:00+00:00,ACCOUNTING_PERIOD,2017-07-12T00:00:00+00:00,,RELATIONSHIP_PERIOD,,,,,,,,,,ACCOUNTING_STANDARD,US_GAAP,,,,,,,,,,,,,,,,,,,,,,,,2015-02-20T00:00:00+00:00,2024-04-21T10:25:13+00:00,PUBLISHED,2025-05-27T14:05:45+00:00,529900T8BM49AURSDO55,ENTITY_SUPPLIED_ONLY,ACCOUNTS_FILING,https://www.sec.gov/ix?doc=/Archives/edgar/data/831001/000083100120000031/c-12312019x10k.htm
073LKXEKEP6T62NK2G42,LEI,6SHGI4ZSSLCXXQSBB395,LEI,IS_ULTIMATELY_CONSOLIDATED_BY,ACTIVE,2021-01-01T00:00:00+00:00,2021-12-31T00:00:00+00:00,ACCOUNTING_PERIOD,2017-10-02T00:00:00+00:00,,RELATIONSHIP_PERIOD,,,,,,,,,,ACCOUNTING_STANDARD,US_GAAP,,,,,,,,,,,,,,,,,,,,,,,,2012-11-28T00:00:00+00:00,2024-04-22T18:24:42+00:00,PUBLISHED,2025-05-27T14:05:43+00:00,529900T8BM49AURSDO55,ENTITY_SUPPLIED_ONLY,SUPPORTING_DOCUMENTS,https://www.ffiec.gov/npw/Institution/Profile/1951350?dt=20170701
0C45RG70GW42XSBLJ131,LEI,6SHGI4ZSSLCXXQSBB395,LEI,IS_ULTIMATELY_CONSOLIDATED_BY,ACTIVE,2024-04-27T00:00:00+00:00,,DOCUMENT_FILING_PERIOD,2022-01-01T00:00:00+00:00,2022-12-31T00:00:00+00:00,ACCOUNTING_PERIOD,2021-05-27T00:00:00+00:00,,RELATIONSHIP_PERIOD,,,,,,,ACCOUNTING_STANDARD,US_GAAP,,,,,,,,,,,,,,,,,,,,,,,,2012-06-27T00:00:00+00:00,2024-04-27T14:18:23+00:00,PUBLISHED,2025-05-27T14:17:44+00:00,529900T8BM49AURSDO55,FULLY_CORROBORATED,REGULATORY_FILING,https://www.ffiec.gov/npw/Institution/Profile/1180244?dt=20220630
18B0XXQZGRUMTWTLAN28,LEI,6SHGI4ZSSLCXXQSBB395,LEI,IS_ULTIMATELY_CONSOLIDATED_BY,ACTIVE,2021-01-01T00:00:00+00:00,2021-12-31T00:00:00+00:00,ACCOUNTING_PERIOD,2017-10-02T00:00:00+00:00,,RELATIONSHIP_PERIOD,,,,,,,,,,ACCOUNTING_STANDARD,US_GAAP,,,,,,,,,,,,,,,,,,,,,,,,2012-06-06T00:00:00+00:00,2023-05-02T13:40:34+00:00,PUBLISHED,2024-05-27T14:18:14+00:00,529900T8BM49AURSDO55,ENTITY_SUPPLIED_ONLY,SUPPORTING_DOCUMENTS,
1P0UUG7LC1S92QTNHG39,LEI,6SHGI4ZSSLCXXQSBB395,LEI,IS_ULTIMATELY_CONSOLIDATED_BY,ACTIVE,2021-01-01T00:00:00+00:00,2021-12-31T00:00:00+00:00,ACCOUNTING_PERIOD,2017-07-12T00:00:00+00:00,,RELATIONSHIP_PERIOD,,,,,,,,,,ACCOUNTING_STANDARD,US_GAAP,,,,,,,,,,,,,,,,,,,,,,,,2012-06-06T00:00:00+00:00,2024-04-27T15:10:27+00:00,PUBLISHED,2025-05-27T14:17:56+00:00,529900T8BM49AURSDO55,FULLY_CORROBORATED,SUPPORTING_DOCUMENTS,https://www.sec.gov/ix?doc=/Archives/edgar/data/831001/000083100121000042/c-20201231.htm
21380011PJMHUXFASQ44,LEI,E57ODZWZ7FF32TWEFA76,LEI,IS_FUND-MANAGED_BY,ACTIVE,2023-06-01T00:00:00Z,,RELATIONSHIP_PERIOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-12-06T00:00:00Z,2023-12-06T12:03:34.307Z,PUBLISHED,2024-12-06T00:00:00Z,213800WAVVOPS85N2205,FULLY_CORROBORATED,SUPPORTING_DOCUMENTS,
21380012D15T9TJJGV17,LEI,E57ODZWZ7FF32TWEFA76,LEI,IS_FUND-MANAGED_BY,ACTIVE,2019-09-10T00:00:00Z,,RELATIONSHIP_PERIOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-28T00:00:00Z,2023-12-27T08:52:20.053Z,PUBLISHED,2024-12-28T00:00:00Z,213800WAVVOPS85N2205,FULLY_CORROBORATED,SUPPORTING_DOCUMENTS,
2138001TOI669YXB6109,LEI,E57ODZWZ7FF32TWEFA76,LEI,IS_FUND-MANAGED_BY,ACTIVE,2021-09-20T00:00:00Z,,RELATIONSHIP_PERIOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-04-23T00:00:00Z,2024-04-23T08:49:32.920Z,PUBLISHED,2025-04-23T00:00:00Z,213800WAVVOPS85N2205,ENTITY_SUPPLIED_ONLY,SUPPORTING_DOCUMENTS,
2138001W8YG1KDJEJ240,LEI,E57ODZWZ7FF32TWEFA76,LEI,IS_FUND-MANAGED_BY,ACTIVE,2023-06-01T00:00:00Z,,RELATIONSHIP_PERIOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-12-06T00:00:00Z,2023-12-06T12:03:34.307Z,PUBLISHED,2024-12-06T00:00:00Z,213800WAVVOPS85N2205,FULLY_CORROBORATED,SUPPORTING_DOCUMENTS,
2138001WCWWI3BFEB229,LEI,E57ODZWZ7FF32TWEFA76,LEI,IS_FUND-MANAGED_BY,ACTIVE,2021-04-23T00:00:00Z,,RELATIONSHIP_PERIOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-04-23T00:00:00Z,2024-04-23T08:49:32.920Z,PUBLISHED,2025-04-23T00:00:00Z,213800WAVVOPS85N2205,ENTITY_SUPPLIED_ONLY,SUPPORTING_DOCUMENTS,
213800271F5QFU3H9A80,LEI,E57ODZWZ7FF32TWEFA76,LEI,IS_FUND-MANAGED_BY,ACTIVE,2023-06-01T00:00:00Z,,RELATIONSHIP_PERIOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-11-08T00:00:00Z,2023-11-08T14:21:31.943Z,PUBLISHED,2024-11-08T00:00:00Z,213800WAVVOPS85N2205,ENTITY_SUPPLIED_ONLY,SUPPORTING_DOCUMENTS,
2138002I4PWL3RO5XD46,LEI,E57ODZWZ7FF32TWEFA76,LEI,IS_FUND-MANAGED_BY,ACTIVE,2020-09-09T00:00:00Z,,RELATIONSHIP_PERIOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-18T00:00:00Z,2023-12-18T11:28:56.553Z,PUBLISHED,2024-12-23T00:00:00Z,213800WAVVOPS85N2205,FULLY_CORROBORATED,SUPPORTING_DOCUMENTS,
2138002N6OXPZASBSR22,LEI,E57ODZWZ7FF32TWEFA76,LEI,IS_FUND-MANAGED_BY,ACTIVE,2008-02-01T00:00:00Z,,RELATIONSHIP_PERIOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-01-15T00:00:00Z,2024-01-12T09:48:20.783Z,PUBLISHED,2025-01-15T00:00:00Z,213800WAVVOPS85N2205,FULLY_CORROBORATED,SUPPORTING_DOCUMENTS,
